,cusip no,issuer name,price,shares,currency,market valuation,price USD
295,05580M 10 8,B. RILEY FINANCIAL INC COM,106.19,6426,USD,682376.94,106.19
296,05587G 10 4,BK TECHNOLOGIES CORPORATION COM,53.0,681,EUR,36093.0,58.29
297,05588N 10 8,BNY MELLON ALCENTRA GLOBAL C COM,310.23,7484,USD,2321761.3200000003,310.23
298,05588W 10 8,BNY MELLON STRATEGIC MUNS IN COM,269.19,3019,USD,812684.61,269.19
299,05589T 10 4,BNY MELLON MUN INCOME INC COM,212.59,13139,EUR,2793220.0100000002,233.79
300,05601C 10 5,BGSF INC COM,44.17,11861,EUR,523900.37,48.58
301,05605H 10 0,BWX TECHNOLOGIES INC COM,307.04,11901,EUR,3654083.04,337.66
302,05608P 10 9,BYND CANNASOFT ENTERPRISES I COM,209.17,10831,EUR,2265520.27,230.03
303,05614L 20 9,BABCOCK & WILCOX ENTERPRISES COM,311.57,10473,USD,3263072.61,311.57
304,56525 10 8,BADGER METER INC COM,174.8,11593,USD,2026456.4000000001,174.8
305,57665 20 0,BALCHEM CORP COM,63.76,5980,EUR,381284.8,70.12
306,58498 10 6,BALL CORP COM,13.32,10441,EUR,139074.12,14.65
307,58586 10 8,BALLARD PWR SYS INC NEW COM,67.87,12826,USD,870500.6200000001,67.87
308,05875B 10 6,BALLYS CORPORATION COM,131.33,7016,USD,921411.2800000001,131.33
309,05945F 10 3,BANCFIRST CORP COM,200.85,14368,USD,2885812.8,200.85
310,06759L 10 3,BARINGS BDC INC COM,327.8,2646,EUR,867358.8,360.49
311,06759X 10 7,BARINGS CORPORATE INVS COM,67.68,4846,USD,327977.28,67.68
312,06760L 10 0,BARINGS GLOBAL SHORT DURATIO COM,269.3,13894,USD,3741654.2,269.3
313,06777U 10 1,BARNES & NOBLE ED INC COM,167.99,5760,EUR,967622.4,184.74
314,67806 10 9,BARNES GROUP INC COM,135.33,1647,USD,222888.51,135.33
315,79174 10 8,BELLEVUE COM,204.97,3865,EUR,792209.05,225.41
316,08160H 10 1,BENCHMARK ELECTRS COM,34.34,10574,EUR,363111.16000000003,37.76
317,08180D 10 6,BENEFITFOCUS INC COM,349.23,1833,USD,640138.5900000001,349.23
318,08205P 10 0,BENITEC BIOPHARMA COM,333.41,2833,EUR,944550.53,366.66
319,08771Y 30 3,BETTER CHOICE CO INC COM,126.84,5859,USD,743155.56,126.84
320,08772B 10 4,BETTER WORLD ACQUISITION COR COM,294.71,12406,USD,3656172.26,294.71
321,08862E 10 9,BEYOND MEAT INC COM,102.32,14917,EUR,1526307.44,112.52
322,08862L 10 3,BEYOND AIR INC COM,346.68,10208,EUR,3538909.44,381.25
323,08915P 10 1,BIG 5 SPORTING GOODS CORP COM,135.1,3437,USD,464338.69999999995,135.1
324,89302 10 3,BIG LOTS INC COM,234.45,2766,EUR,648488.7,257.83
325,08975B 10 9,BIGBEAR AI HLDGS INC COM,142.76,652,EUR,93079.51999999999,157.0
326,90043 10 0,BILL HOLDINGS INC COM,225.22,13520,USD,3044974.4,225.22
327,09057N 30 0,BIO-PATH HLDGS INC COM,192.14,11175,EUR,2147164.5,211.3
328,09058V 10 3,BIOCRYST PHARMACEUTICALS COM,70.35,6341,USD,446089.35,70.35
329,09060U 50 7,BIOCARDIA INC COM,20.96,14633,EUR,306707.68,23.05
330,09061G 10 1,BIOMARIN PHARMACEUTICAL COM,75.45,12210,EUR,921244.5,82.97
331,09062X 10 3,BIOGEN INC COM,278.72,14553,EUR,4056212.1600000006,306.52
332,09072V 50 1,BIOCEPT INC COM,195.65,4467,EUR,873968.55,215.16
333,09073M 10 4,BIO-TECHNE CORP COM,64.69,10866,EUR,702921.5399999999,71.14
334,09074H 10 4,BIOTRICITY INC COM,20.88,3212,USD,67066.56,20.88
335,09075F 10 7,BIONANO GENOMICS INC COM,150.89,8964,EUR,1352577.96,165.94
336,09075P 10 5,BIOXCEL THERAPEUTICS COM,16.63,14080,USD,234150.4,16.63
337,09075X 10 8,BIODESIX INC COM,267.89,14435,USD,3866992.15,267.89
338,09077A 10 6,BIOMEA FUSION INC COM,15.1,12480,EUR,188448.0,16.61
339,09077B 10 4,BIOATLA INC COM,153.87,13465,USD,2071859.55,153.87
340,09077D 10 0,BIOFRONTERA INC COM,297.7,4809,USD,1431639.3,297.7
341,09173B 10 7,BITFARMS LTD COM,298.11,12990,EUR,3872448.9000000004,327.84
342,09175M 10 1,AULT ALLIANCE INC COM,161.29,6273,EUR,1011772.1699999999,177.38
343,09180C 10 6,BJS RESTAURANTS INC COM,307.22,5509,USD,1692474.9800000002,307.22
344,91941 10 4,BLACKROCK FLOATING RATE INC COM,205.29,13570,EUR,2785785.3,225.76
345,09203E 10 5,BLACK DIAMOND THERAPEUTICS COM,117.31,10997,EUR,1290058.07,129.01
346,92113 10 9,BLACK HILLS CORP COM,121.59,6279,USD,763463.61,121.59
347,09215C 10 5,BLACK KNIGHT INC COM,92.55,14868,EUR,1376033.4,101.78
348,09227Q 10 0,BLACKBAUD INC COM,147.83,11923,EUR,1762577.09,162.57
349,09228F 10 3,BLACKBERRY LTD COM,125.74,14475,USD,1820086.5,125.74
350,09239B 10 9,BLACKLINE COM,133.22,9420,EUR,1254932.4,146.51
351,09247D 10 5,BLACKROCK COM,38.96,6185,EUR,240967.6,42.85
352,09247X 10 1,BLACKROCK COM,279.07,1670,EUR,466046.89999999997,306.9
353,92479 10 4,BLACKROCK COM,258.14,2479,EUR,639929.0599999999,283.88
354,09248D 10 4,BLACKROCK COM,100.63,5327,EUR,536056.01,110.67
355,92481 10 0,BLACKROCK COM,338.04,1273,EUR,430324.92000000004,371.75
356,09249N 10 1,BLACKROCK COM,318.07,11555,EUR,3675298.85,349.79
357,09250B 10 3,BLACKROCK COM,103.94,1347,EUR,140007.18,114.31
358,09250U 10 1,BLACKROCK COM,191.42,12757,EUR,2441944.94,210.51
359,09250W 10 7,BLACKROCK COM,244.55,7606,EUR,1860047.3,268.94
360,92501 10 5,BLACKROCK COM,315.24,4981,USD,1570210.44,315.24
361,92508 10 0,BLACKROCK COM,263.03,11828,EUR,3111118.84,289.26
362,09251A 10 4,BLACKROCK COM,19.76,8631,USD,170548.56000000003,19.76
363,09253N 10 4,BLACKROCK COM,343.13,6621,EUR,2271863.73,377.35
364,09253R 10 5,BLACKROCK COM,325.54,10587,USD,3446491.9800000004,325.54
365,09253T 10 1,BLACKROCK COM,48.84,8361,EUR,408351.24000000005,53.71
366,09253W 10 4,BLACKROCK COM,103.1,3733,USD,384872.3,103.1
367,09253X 10 2,BLACKROCK COM,108.8,3810,USD,414528.0,108.8
368,92533 10 8,BLACKROCK COM,105.96,4775,EUR,505958.99999999994,116.53
369,09254C 10 7,BLACKROCK COM,161.27,10991,EUR,1772518.57,177.35
370,09254E 10 3,BLACKROCK COM,70.9,11853,USD,840377.7000000001,70.9
371,09254F 10 0,BLACKROCK COM,335.22,11201,USD,3754799.22,335.22
372,09254G 10 8,BLACKROCK COM,136.24,3038,USD,413897.12000000005,136.24
373,09254J 10 2,BLACKROCK COM,188.84,12713,USD,2400722.92,188.84
374,09254L 10 7,BLACKROCK COM,341.33,7495,EUR,2558268.35,375.37
375,09254V 10 5,BLACKROCK COM,24.62,2021,USD,49757.020000000004,24.62
376,09254X 10 1,BLACKROCK COM,130.77,4191,EUR,548057.0700000001,143.81
377,09255C 10 6,BLACKROCK COM,304.02,13015,EUR,3956820.3,334.34
378,09255E 10 2,BLACKROCK COM,315.56,1002,USD,316191.12,315.56
379,09255G 10 7,BLACKROCK COM,294.92,10853,USD,3200766.7600000002,294.92
380,09255K 10 8,BLACKROCK COM,305.38,4216,USD,1287482.08,305.38
381,09255P 10 7,BLACKROCK COM,264.7,10389,EUR,2749968.3,291.1
382,09255R 20 2,BLACKROCK COM,245.22,10118,USD,2481135.96,245.22
383,09354A 10 0,BLINK CHARGING CO COM,124.1,1977,EUR,245345.69999999998,136.48
384,93671 10 5,BLOCK H & R INC COM,104.35,8638,USD,901375.2999999999,104.35
385,09370F 10 9,BLOCKCHAIN MOON ACQUISITN COM,268.53,11014,EUR,2957589.42,295.31
386,94235 10 8,BLOOMIN BRANDS INC COM,148.2,11939,USD,1769359.7999999998,148.2
387,95229 10 0,AVANTAX INC COM,176.97,2294,USD,405969.18,176.97
388,95306 10 6,BLUE BIRD CORP COM,71.72,4778,USD,342678.16,71.72
389,09549B 10 4,BLUE FOUNDRY BANCORP COM,15.37,10854,USD,166825.97999999998,15.37
390,95633 10 3,BLUEJAY DIAGNOSTICS INC COM,100.98,9190,USD,928006.2000000001,100.98
391,09627Y 10 9,BLUEPRINT MEDICINES CORP COM,135.57,3906,USD,529536.4199999999,135.57
392,09662E 10 9,BNY MELLON STRATEGIC MUN BD COM,342.82,10990,USD,3767591.8,342.82
393,97023 10 5,BOEING CO COM,89.76,7299,USD,655158.24,89.76
394,97235 10 5,BOGOTA FINL CORP COM,18.88,12307,EUR,232356.15999999997,20.76
395,98529 30 8,BONSO ELECTRS INTL INC COM,272.48,3168,EUR,863216.64,299.65
396,09857L 10 8,BOOKING HOLDINGS INC COM,326.18,8874,EUR,2894521.32,358.71
397,99406 10 0,BOOT BARN HLDGS INC COM,94.57,13467,EUR,1273574.19,104.0
398,99724 10 6,BORGWARNER INC COM,70.52,11906,USD,839611.12,70.52
399,101121 10 1,BOSTON PROPERTIES INC COM,336.91,7856,USD,2646764.9600000004,336.91
400,101137 10 7,BOSTON SCIENTIFIC CORP COM,146.28,7860,EUR,1149760.8,160.87
401,101507 10 1,SRH TOTAL RETURN FUND INC COM,187.77,7431,EUR,1395318.87,206.5
402,103002 10 1,BOWMAN CONSULTING COM,164.69,9560,USD,1574436.4,164.69
403,103174 10 8,BOXED INC COM,345.01,7124,EUR,2457851.2399999998,379.42
404,103304 10 1,BOYD GAMING CORP COM,219.47,6840,EUR,1501174.8,241.36
405,10482B 10 1,BRAEMAR HOTELS & RESORTS INC COM,277.33,12507,USD,3468566.3099999996,277.33
406,106762 10 7,BREEZE HOLDINGS ACQUISITN CO COM,213.35,8527,USD,1819235.45,213.35
407,10806X 10 2,BRIDGEBIO PHARMA INC COM,321.04,7618,USD,2445682.72,321.04
408,108763 10 3,BRIDGFORD FOODS CORP COM,34.94,10206,EUR,356597.63999999996,38.42
409,10919W 10 8,BRIGHT MINDS BIOSCIENCES INC COM,246.35,4889,EUR,1204405.15,270.92
410,109194 10 0,BRIGHT COM,312.09,3574,USD,1115409.66,312.09
411,10920V 10 7,BRIGHT HEALTH GROUP INC COM,10.44,4883,EUR,50978.52,11.48
412,10921T 10 1,BRIGHTCOVE INC COM,149.01,11655,EUR,1736711.5499999998,163.87
413,10922N 10 3,BRIGHTHOUSE FINL INC COM,162.88,5644,USD,919294.72,162.88
414,10948C 10 7,BRIGHTVIEW HLDGS INC COM,40.75,2722,EUR,110921.5,44.81
415,10948W 10 3,BRIGHTSPHERE INVT GROUP COM,10.88,14666,EUR,159566.08000000002,11.97
416,109641 10 0,BRINKER INTL INC COM,170.56,5709,USD,973727.04,170.56
417,109696 10 4,BRINKS CO COM,291.86,1526,USD,445378.36000000004,291.86
418,110122 10 8,BRISTOL-MYERS COM,124.32,13337,EUR,1658055.8399999999,136.72
419,11040G 10 3,BRISTOW GROUP INC COM,264.72,12422,USD,3288351.8400000003,264.72
420,11120U 10 5,BRIXMOR PPTY GROUP INC COM,289.1,6278,EUR,1814969.8,317.93
421,11125B 10 2,BROAD CAPITAL ACQUISITION COM,228.74,13475,USD,3082271.5,228.74
422,11133T 10 3,BROADRIDGE FINL SOLUTIONS COM,280.23,8198,EUR,2297325.54,308.18
423,11135B 10 0,BROADMARK RLTY CAP INC COM,189.11,5379,EUR,1017222.6900000001,207.97
424,11135E 20 3,BROADSTONE NET LEASE INC COM,257.53,9754,USD,2511947.6199999996,257.53
425,11135F 10 1,BROADCOM INC COM,260.31,3642,EUR,948049.02,286.27
426,111444 10 5,BROADWAY FINL CORP DEL COM,57.52,8895,EUR,511640.4,63.26
427,112463 10 4,BROOKDALE COM,200.16,11628,EUR,2327460.48,220.12
428,11373M 10 7,BROOKLINE BANCORP INC DEL COM,110.63,1434,EUR,158643.41999999998,121.66
429,114340 10 2,AZENTA INC COM,123.32,14719,EUR,1815147.0799999998,135.62
430,115236 10 1,BROWN & BROWN INC COM,100.94,14055,USD,1418711.7,100.94
431,12021E 10 9,BULLFROG AI HLDGS INC COM,309.72,14190,USD,4394926.800000001,309.72
432,12122L 10 1,BURGERFI INTERNATIONAL COM,25.16,1524,EUR,38343.840000000004,27.67
433,122017 10 6,BURLINGTON STORES INC COM,241.72,8117,USD,1962041.24,241.72
434,12326C 10 5,BUSINESS FIRST BANCSHARES COM,234.44,1475,EUR,345799.0,257.82
435,124411 10 9,BYLINE BANCORP INC COM,90.41,5738,EUR,518772.57999999996,99.43
436,124805 10 2,CBIZ COM,246.83,8927,USD,2203451.41,246.83
437,12482W 10 1,CBDMD COM,134.4,10547,USD,1417516.8,134.4
438,12503M 10 8,CBOE COM,22.26,3433,USD,76418.58,22.26
439,12504G 10 0,CBRE COM,20.25,9245,USD,187211.25,20.25
440,12510Q 10 0,CCC COM,317.36,2857,EUR,906697.52,349.01
441,12514G 10 8,CDW COM,206.76,10475,EUR,2165811.0,227.38
442,125523 10 0,THE CIGNA GROUP COM,340.0,10086,EUR,3429240.0,373.91
443,12562N 10 4,CKX LDS INC COM,53.62,5326,USD,285580.12,53.62
444,12740C 10 3,CADENCE COM,261.55,6036,EUR,1578715.8,287.63
445,12763L 10 5,CADRE COM,269.3,6081,EUR,1637613.3,296.16
446,127636 10 8,CADRENAL THERAPEUTICS INC COM,162.83,2623,USD,427103.09,162.83
447,12769G 10 0,CAESARS ENTERTAINMENT INC NE COM,84.53,3061,EUR,258746.33000000002,92.96
448,128058 30 2,LISATA THERAPEUTICS INC COM,119.53,13340,USD,1594530.2,119.53
449,12811L 10 7,CALAMOS GBL DYN INCOME FUND COM,116.26,3173,EUR,368892.98000000004,127.85
450,12811V 10 5,CALAMOS DYNAMIC CONV & INCOM COM,81.05,11006,EUR,892036.2999999999,89.13
451,12812C 10 6,CALAMOS LNG SHR EQT DYNAMIC COM,48.78,4541,EUR,221509.98,53.64
452,128126 10 9,CALAMP CORP COM,157.11,4592,EUR,721449.1200000001,172.78
453,128246 10 5,CALAVO GROWERS INC COM,309.6,1967,EUR,608983.2000000001,340.48
454,129500 10 4,CALERES INC COM,236.52,13190,USD,3119698.8000000003,236.52
455,130788 10 2,CALIFORNIA WTR SVC GROUP COM,314.2,6723,USD,2112366.6,314.2
456,13100M 50 9,CALIX INC COM,58.26,14305,EUR,833409.2999999999,64.07
457,131193 10 4,TOPGOLF CALLAWAY BRANDS CORP COM,270.26,12176,EUR,3290685.76,297.21
458,13123X 50 8,CALLON PETE CO DEL COM,280.51,6505,USD,1824717.55,280.51
459,13173L 10 7,CALYXT COM,3.58,14912,USD,53384.96,3.58
460,13200M 60 7,CAMBER COM,142.93,8843,EUR,1263929.99,157.18
461,136069 10 1,CANADIAN IMPERIAL BK COMM COM,36.55,8538,USD,312063.89999999997,36.55
462,136375 10 2,CANADIAN NATL RY CO COM,211.16,9469,EUR,1999474.04,232.22
463,136385 10 1,CANADIAN NAT RES LTD COM,327.32,586,EUR,191809.52,359.96
464,13645T 10 0,CANADIAN PAC RY LTD COM,200.97,13509,USD,2714903.73,200.97
465,136635 10 9,CANADIAN SOLAR INC COM,64.5,8382,EUR,540639.0,70.93
466,137404 10 9,CANDEL THERAPEUTICS INC COM,223.8,3781,EUR,846187.8,246.12
467,13765N 10 7,CANNAE HLDGS INC COM,232.36,3390,USD,787700.4,232.36
468,138035 10 0,CANOPY GROWTH CORP COM,40.79,5402,EUR,220347.58,44.86
469,138103 10 6,CANTALOUPE INC COM,91.13,4748,USD,432685.24,91.13
470,13811E 10 1,CANTERBURY PK HLDG CORP COM,151.93,7703,EUR,1170316.79,167.08
471,139674 10 5,CAPITAL CITY BK GROUP INC COM,345.39,14293,EUR,4936659.27,379.84
472,139737 10 0,CAPITAL BANCORP INC MD COM,105.6,5954,EUR,628742.4,116.13
473,14040H 10 5,CAPITAL COM,226.32,8992,EUR,2035069.44,248.89
474,140501 10 7,CAPITAL SOUTHWEST CORP COM,347.0,14681,USD,5094307.0,347.0
475,14057J 10 1,CAPITOL FED FINL INC COM,221.27,12947,USD,2864782.69,221.27
476,14067D 50 8,CAPSTONE GREEN ENERGY CORP COM,206.64,10861,USD,2244317.04,206.64
477,14070T 10 2,CAPSTAR FINL HLDGS INC COM,3.68,3364,EUR,12379.52,4.05
478,140755 10 9,CARA THERAPEUTICS INC COM,318.15,9862,USD,3137595.3,318.15
479,14147L 10 8,CARDIFF ONCOLOGY INC COM,251.99,755,USD,190252.45,251.99
480,14149Y 10 8,CARDINAL HEALTH INC COM,348.03,5654,EUR,1967761.6199999999,382.74
481,14161W 10 5,CARDLYTICS INC COM,60.99,833,EUR,50804.67,67.07
482,141619 10 6,CARDIOVASCULAR SYS INC DEL COM,186.56,5251,USD,979626.56,186.56
483,14167L 10 3,CAREDX INC COM,333.14,4332,EUR,1443162.48,366.36
484,14167R 10 0,CARECLOUD INC COM,340.41,5724,USD,1948506.84,340.41
485,14174T 10 7,CARETRUST REIT INC COM,148.36,3029,EUR,449382.44000000006,163.16
486,142038 10 8,CARIBOU BIOSCIENCES INC COM,218.49,13526,USD,2955295.74,218.49
487,14216R 10 1,CARISMA THERAPEUTICS INC COM,214.65,10856,EUR,2330240.4,236.06
488,142339 10 0,CARLISLE COS INC COM,200.18,1000,EUR,200180.0,220.14
489,143130 10 2,CARMAX INC COM,286.38,12851,EUR,3680269.38,314.94
490,14316J 10 8,CARLYLE GROUP INC COM,209.7,7124,EUR,1493902.7999999998,230.61
491,143905 10 7,CARRIAGE SVCS INC COM,93.82,7331,EUR,687794.4199999999,103.18
492,14427M 10 7,CARPARTS COM INC COM,203.56,7611,USD,1549295.16,203.56
493,144285 10 3,CARPENTER TECHNOLOGY CORP COM,34.81,12541,EUR,436552.21,38.28
494,14448C 10 4,CARRIER GLOBAL CORPORATION COM,225.86,6924,EUR,1563854.6400000001,248.38
495,14574X 10 4,CARROLS RESTAURANT GROUP INC COM,243.67,14334,USD,3492765.78,243.67
496,14575E 10 5,CARS COM INC COM,80.84,7650,EUR,618426.0,88.9
497,146229 10 9,CARTERS INC COM,227.22,10179,USD,2312872.38,227.22
498,14713L 10 2,CASA SYS INC COM,185.39,14026,EUR,2600280.1399999997,203.88
499,147528 10 3,CASEYS GEN STORES INC COM,342.34,12984,USD,4444942.56,342.34
500,14808P 10 9,CASS INFORMATION SYS INC COM,65.18,7285,USD,474836.30000000005,65.18
501,14843C 10 5,CASTLE BIOSCIENCES INC COM,108.55,1514,USD,164344.69999999998,108.55
502,148806 10 2,CATALENT INC COM,273.75,13884,EUR,3800745.0,301.05
503,14888U 10 1,CATALYST PHARMACEUTICALS INC COM,301.44,11928,USD,3595576.32,301.44
504,149123 10 1,CATERPILLAR INC COM,58.78,14125,EUR,830267.5,64.64
505,149150 10 4,CATHAY GEN BANCORP COM,180.87,5050,USD,913393.5,180.87
506,149568 10 7,CAVCO INDS INC DEL COM,226.49,13593,EUR,3078678.5700000003,249.08
507,14986C 10 2,CBAK ENERGY TECHNOLOGY INC COM,74.24,13415,EUR,995929.6,81.64
508,150870 10 3,CELANESE CORP DEL COM,52.69,1047,EUR,55166.43,57.94
509,15102K 10 0,CELCUITY INC COM,228.44,11992,USD,2739452.48,228.44
510,15135B 10 1,CENTENE CORP DEL COM,201.54,13080,EUR,2636143.1999999997,221.64
511,15135U 10 9,CENOVUS ENERGY INC COM,334.84,13929,EUR,4663986.359999999,368.23
512,15189T 10 7,CENTERPOINT ENERGY INC COM,155.27,2870,USD,445624.9,155.27
513,152006 10 2,CENTERRA GOLD INC COM,64.24,4300,USD,276232.0,64.24
514,15202L 10 7,CENTERSPACE COM,303.73,10443,USD,3171852.39,303.73
515,153436 10 0,CENTRAL & EASTERN EUROPE FD COM,195.63,12394,USD,2424638.2199999997,195.63
516,153527 10 6,CENTRAL GARDEN & PET CO COM,296.41,6602,USD,1956898.82,296.41
517,155685 10 0,CENTRAL COM,172.75,14353,EUR,2479480.75,189.98
518,156431 10 8,CENTURY COM,323.03,11654,EUR,3764591.6199999996,355.25
519,156492 10 0,CENTURY COM,166.59,10837,USD,1805335.83,166.59
520,156504 30 0,CENTURY COM,339.89,926,EUR,314738.14,373.79
521,15672X 10 2,CERBERUS COM,20.21,2639,USD,53334.19,20.21
522,156727 10 9,CERENCE COM,107.73,10022,USD,1079670.06,107.73
523,15673T 10 0,CENTURY COM,329.88,2700,EUR,890676.0,362.78
524,,,115.57,14135,EUR,1633581.95,127.1
525,15677J 10 8,CERIDIAN HCM HLDG INC COM,291.61,12174,USD,3550060.14,291.61
526,15678U 12 8,CEREVEL THERAPEUTICS HLDNG COM,116.83,10078,EUR,1177412.74,128.48
527,15687V 10 9,CERTARA INC COM,151.36,6066,USD,918149.7600000001,151.36
528,157085 10 1,CERUS CORP COM,192.32,12832,EUR,2467850.2399999998,211.5
529,157210 10 5,CEVA INC COM,99.79,5318,EUR,530683.2200000001,109.74
530,15872M 10 4,CHAMPIONX CORPORATION COM,199.32,8703,EUR,1734681.96,219.2
531,15957P 30 3,CHARAH SOLUTIONS INC COM,118.94,7703,USD,916194.82,118.94
532,,,173.83,10405,USD,1808701.1500000001,173.83
533,159864 10 7,CHARLES RIV LABS INTL INC COM,52.29,5475,USD,286287.75,52.29
534,16115Q 30 8,CHART INDS INC COM,112.61,14750,USD,1660997.5,112.61
535,16150R 10 4,CHASE CORP COM,142.87,11741,USD,1677436.6700000002,142.87
536,16208T 10 2,CHATHAM LODGING TR COM,154.52,3878,EUR,599228.56,169.93
537,163072 10 1,CHEESECAKE FACTORY INC COM,41.65,9499,USD,395633.35,41.65
538,163086 10 1,CHEFS WHSE INC COM,76.29,6792,EUR,518161.68000000005,83.9
539,166764 10 0,CHEVRON CORP NEW COM,132.98,13017,USD,1731000.66,132.98
540,167239 10 2,CHICAGO ATLANTIC REA COM,255.12,9512,EUR,2426701.44,280.56
541,168615 10 2,CHICOS FAS INC COM,117.78,3434,USD,404456.52,117.78
542,168905 10 7,CHILDRENS PL INC NEW COM,31.3,5256,USD,164512.80000000002,31.3
543,16934W 10 6,CHIMERIX INC COM,243.71,1163,USD,283434.73,243.71
544,16936R 10 5,CHINA AUTOMOTIVE COM,134.19,3742,USD,502138.98,134.19
545,169373 10 7,CHINA COM,216.05,13927,EUR,3008928.35,237.6
546,16941T 10 4,CHINA COM,269.22,2566,USD,690818.52,269.22
547,16941T 20 3,CHINA COM,337.55,7364,USD,2485718.2,337.55
548,16961L 10 6,CHINOOK THERAPEUTICS INC COM,113.64,9078,USD,1031623.92,113.64
549,169656 10 5,CHIPOTLE MEXICAN GRILL INC COM,293.76,1535,USD,450921.6,293.76
550,169905 10 6,CHOICE HOTELS INTL INC COM,140.18,11254,EUR,1577585.72,154.16
551,170386 10 6,CHOICEONE FINL SVCS INC COM,153.88,14562,USD,2240800.56,153.88
552,171340 10 2,CHURCH & COM,61.9,6866,USD,425005.39999999997,61.9
553,174610 10 5,CITIZENS FINL GROUP INC COM,333.86,9806,USD,3273831.16,333.86
554,174615 10 4,CITIZENS FINANCIAL SERVS INC COM,141.98,4093,USD,581124.14,141.98
555,174715 10 2,CITIZENS HLDG CO MISS COM,28.38,10115,EUR,287063.7,31.21
556,174903 10 4,CITIZENS CMNTY BANCORP INC M COM,209.72,1369,EUR,287106.68,230.64
557,177835 10 5,CITY HLDG CO COM,273.81,8224,USD,2251813.44,273.81
558,178587 10 1,CITY OFFICE REIT INC COM,227.21,722,USD,164045.62,227.21
559,18270P 10 9,CLARUS CORP NEW COM,20.02,10582,EUR,211851.63999999998,22.02
560,184496 10 7,CLEAN HARBORS INC COM,207.17,14328,USD,2968331.76,207.17
561,184499 10 1,CLEAN ENERGY FUELS CORP COM,249.48,5435,EUR,1355923.8,274.36
562,18453H 10 6,CLEAR CHANNEL OUTDOOR HLDGS COM,204.5,425,USD,86912.5,204.5
563,18469P 20 9,CLEARBRIDGE ENERGY MIDSTRM O COM,142.91,7864,EUR,1123844.24,157.16
564,18469Q 20 7,CLEARBRIDGE MLP AND MIDSTRM COM,75.49,4320,USD,326116.8,75.49
565,184692 20 0,CLEARBRIDGE MLP AND MIDSTRM COM,242.72,10407,EUR,2525987.04,266.93
566,18482P 10 3,CLEARFIELD INC COM,142.41,6757,EUR,962264.37,156.61
567,18506U 10 4,CLEARONE INC COM,289.52,3850,USD,1114652.0,289.52
568,185063 10 4,CLEARSIDE BIOMEDICAL INC COM,124.35,2843,EUR,353527.05,136.75
569,185064 10 2,CLEARSIGN TECHNOLOGIES CORP COM,73.46,297,USD,21817.62,73.46
570,18507C 10 3,CLEARPOINT NEURO INC COM,309.65,10000,USD,3096500.0,309.65
571,18538R 10 3,CLEARWATER PAPER CORP COM,206.54,8799,USD,1817345.46,206.54
572,185899 10 1,CLEVELAND-CLIFFS INC NEW COM,53.59,7912,EUR,424004.08,58.93
573,186760 10 4,CLEVER LEAVES HOLDINGS INC COM,326.39,11852,USD,3868374.28,326.39
574,18885T 30 6,CLIPPER RLTY INC COM,225.67,1635,EUR,368970.44999999995,248.18
575,192003 10 1,TELESIS COM,182.45,14399,EUR,2627097.55,200.65
576,192005 10 6,CODEXIS COM,256.94,816,USD,209663.04,256.94
577,192010 10 6,CODIAK B COM,68.12,3688,EUR,251226.56000000003,74.91
578,19207A 10 8,COEPTIS THERAPEUTICS COM,296.21,14891,USD,4410863.109999999,296.21
579,192176 10 5,COFFEE HLDG CO INC COM,298.57,5048,USD,1507181.3599999999,298.57
580,19240Q 20 1,COGENT BIOSCIENCES INC COM,14.9,8009,EUR,119334.1,16.39
581,192422 10 3,COGNEX CORP COM,108.94,512,USD,55777.28,108.94
582,19243B 10 2,COGNITION THERAPEUTICS INC COM,326.29,12871,USD,4199678.59,326.29
583,19247A 10 0,COHEN & STEERS INC COM,324.08,859,EUR,278384.72,356.4
584,19459J 10 4,COLLEGIUM PHARMACEUTICAL INC COM,285.13,6773,USD,1931185.49,285.13
585,19623P 10 1,COLONY BANKCORP INC COM,341.25,12306,USD,4199422.5,341.25
586,197236 10 2,COLUMBIA BKG SYS INC COM,184.37,13256,EUR,2444008.72,202.76
587,197641 10 3,COLUMBIA FINL INC COM,332.47,6748,EUR,2243507.56,365.63
588,19842X 10 9,COLUMBIA SELIGM PREM TECH GR COM,16.52,9937,USD,164159.24,16.52
589,198516 10 6,COLUMBIA SPORTSWEAR CO COM,1.75,4220,USD,7385.0,1.75
590,199333 10 5,COLUMBUS MCKINNON CORP N Y COM,153.11,8963,USD,1372324.9300000002,153.11
591,199908 10 4,COMFORT SYS USA INC COM,301.65,9434,USD,2845766.0999999996,301.65
592,200340 10 7,COMERICA INC COM,70.94,7147,EUR,507008.18,78.01
593,20037C 10 8,COMERA LIFE SCIENCES HLDGS I COM,141.82,1741,EUR,246908.62,155.96
594,200525 10 3,COMMERCE BANCSHARES INC COM,86.17,3249,EUR,279966.33,94.76
595,201723 10 3,COMMERCIAL METALS CO COM,208.53,6772,EUR,1412165.16,229.33
596,202608 10 5,COMMERCIAL VEH GROUP INC COM,321.95,12317,EUR,3965458.15,354.06
597,20337X 10 9,COMMSCOPE HLDG CO INC COM,344.92,1106,EUR,381481.52,379.32
598,203607 10 6,COMMUNITY BK SYS INC COM,182.75,2953,EUR,539660.75,200.98
599,203668 10 8,COMMUNITY HEALTH SYS INC COM,292.47,11598,EUR,3392067.0600000005,321.64
600,20368X 10 1,COMMUNITY FINL CORP MD COM,190.86,10142,USD,1935702.12,190.86
